"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",
2.428,2.428,1,1,1,0,30.2966025669399,0.0216132728382945,0.00720387336217016,0.0169540033457688,
2.438,2.438,1,1,1,0,30.2971166570216,0.0223001465201378,0.0076223864508342,0.0170535039202553,
2.449,2.449,1,1,1,0,30.2963768143388,0.0215924344956875,0.00692943587810434,0.0169139439814063,
2.459,2.459,1,1,1,0,30.2968707878521,0.0234137754887342,0.00729563192030229,0.0169289950850746,
2.47,2.47,1,1,1,0,30.2970205445281,0.0232708873227239,0.00733386271260194,0.01704892469296,
2.481,2.481,1,1,1,0,30.2970183093538,0.0221204711124301,0.00747356110102944,0.0169641024943387,
2.491,2.491,1,1,1,0,30.2977313299455,0.0211176462471485,0.00737963721787669,0.0169107669206084,
2.502,2.502,1,1,1,0,30.2972641785234,0.0213994644582272,0.00731393240918629,0.0170356129857062,
2.513,2.513,1,1,1,0,30.2971680660298,0.0219886191189289,0.0075509074420888,0.01691626909294,
2.523,2.523,1,1,1,0,30.2972217102123,0.0221878523007035,0.00732883357061855,0.0170452329128149,
2.534,2.534,1,1,1,0,30.2974295814192,0.0224631978198886,0.00698852829640917,0.0170556692913019,
2.545,2.545,1,1,1,0,30.2969423134287,0.0229626428335905,0.00735481747086607,0.016577317528372,
2.555,2.555,1,1,1,0,30.2976955671572,0.0230716075748205,0.00735770457089357,0.01707361347268,
2.566,2.566,1,1,1,0,30.2964192826499,0.0219767913222313,0.00739353720752522,0.0170857892475815,
2.576,2.576,1,1,1,0,30.2964863378779,0.0209341989830136,0.00741789129324108,0.0168162537991064,
2.587,2.587,1,1,1,0,30.2967344422217,0.0212111975997686,0.0072608237385191,0.0170087233370535,
2.598,2.598,1,1,1,0,30.2973580558426,0.0218953005969524,0.00732140627296716,0.0170536814096853,
2.608,2.608,1,1,1,0,30.2961845893517,0.0229472294449806,0.00756750826724693,0.0172089314141508,
2.619,2.619,1,1,1,0,30.297610630535,0.0231916783377528,0.00732669152866267,0.0166547561667031,
