Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",width,thickness
2.93,2.93,1,1,1,0,41.49146842,0.000966736,-0.000106916,0.003375392,,
2.941,2.941,1,1,1,0,41.49191993,0.000925735,0.000164285,0.00294307,,
2.952,2.952,1,1,1,0,41.49168747,0.000603194,-2.42E-06,0.003179233,,
2.962,2.962,1,1,1,0,41.49132984,0.000576535,-0.00019907,0.003020874,,
2.973,2.973,1,1,1,0,41.49173664,0.001090067,-6.60E-05,0.003016237,,
2.983,2.983,1,1,1,0,41.49140584,0.001573586,-0.000132294,0.003169095,,
2.994,2.994,1,1,1,0,41.49142819,0.001506601,4.77E-05,0.003262168,,
3.005,3.005,1,1,1,0,41.49143713,0.000465312,9.10E-05,0.003601329,,
3.015,3.015,1,1,1,0,41.49170088,0.000145868,-2.02E-05,0.002879741,,
3.026,3.026,1,1,1,0,41.4917277,0.001323479,0.000227126,0.002885118,,
3.037,3.037,1,1,1,0,41.49174111,0.001044734,-6.63E-05,0.002633229,,
3.047,3.047,1,1,1,0,41.4917277,0.001349137,-7.57E-05,0.002934519,,
3.058,3.058,1,1,1,0,41.4914863,0.000948831,0.000144774,0.002974241,,
3.069,3.069,1,1,1,0,41.49098562,0.001498475,6.42E-05,0.003344362,,
3.079,3.079,1,1,1,0,41.49145948,0.001423713,-9.08E-06,0.003086143,,
3.09,3.09,1,1,1,0,41.49177687,0.000579352,-8.93E-05,0.003128527,,
3.1,3.1,1,1,1,0,41.49161147,0.001209672,2.45E-05,0.003034379,,
3.111,3.111,1,1,1,0,41.49098115,0.001162011,-1.33E-05,0.003077751,,
3.122,3.122,1,1,1,0,41.49161594,0.00189268,-0.000147917,0.002717257,,
3.132,3.132,1,1,1,0,41.49159359,0.001264317,3.64E-05,0.003219325,,
3.143,3.143,1,1,1,0,41.49056988,0.000775768,0.000290549,0.003268462,,
3.154,3.154,1,1,1,0,41.49122255,0.000167242,5.86E-05,0.002969851,,
3.164,3.164,1,1,1,0,41.49090069,0.001629069,0.000125379,0.003003244,,
3.175,3.175,1,1,1,0,41.49158912,0.00151908,-4.99E-05,0.003287309,,
3.186,3.186,1,1,1,0,41.49112867,0.000418792,-0.000217627,0.003118231,,
3.196,3.196,1,1,1,0,41.49123596,0.001057237,1.38E-05,0.002947637,,
3.207,3.207,1,1,1,0,41.49127172,0.001172046,0.000225729,0.002821507,,
3.217,3.217,1,1,1,0,41.49192887,0.000972301,3.25E-05,0.00327941,,
3.228,3.228,1,1,1,0,41.49155336,0.000954093,-8.82E-05,0.00314279,,
3.239,3.239,1,1,1,0,41.49145948,-0.000426266,-1.61E-05,0.003097973,,
3.249,3.249,1,1,1,0,41.49137007,0.000891881,-9.83E-06,0.002841465,,
3.26,3.26,1,1,1,0,41.49170535,0.002351636,-8.36E-05,0.003065815,,
